,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
52437,52438,7280359,21,11,single,rented,no,Hotel_Manager,Ballia,Uttar_Pradesh,6,10,1
49821,49822,8746011,61,13,single,rented,yes,Artist,Bharatpur,Rajasthan,11,10,1
222946,222947,8923511,62,19,single,norent_noown,no,Technician,Hosur,Tamil_Nadu,6,12,0
5727,5728,4958467,76,2,single,rented,yes,Secretary,Singrauli,Madhya_Pradesh,2,11,0
120820,120821,4816071,63,17,single,rented,no,Mechanical_engineer,Madanapalle,Andhra_Pradesh,13,14,0
3843,3844,3438381,46,6,single,rented,no,Web_designer,Khandwa,Madhya_Pradesh,6,12,0
248186,248187,1746935,34,10,single,rented,no,Chef,Ratlam,Madhya_Pradesh,10,10,0
240172,240173,9043389,74,16,single,rented,no,Dentist,Kadapa[23],Andhra_Pradesh,7,14,0
78489,78490,6368882,46,7,single,rented,no,Analyst,Chittoor[28],Andhra_Pradesh,3,10,0
95153,95154,1770158,39,2,single,rented,no,Chemical_engineer,Ambattur,Tamil_Nadu,2,10,0
9369,9370,1265890,57,0,single,rented,no,Technician,Uluberia,West_Bengal,0,14,0
144997,144998,6382731,51,8,single,rented,yes,Surveyor,Dehradun,Uttarakhand,5,11,0
44889,44890,4276227,31,11,single,rented,no,Secretary,Karawal_Nagar,Delhi,11,13,1
167123,167124,4823993,51,6,single,rented,yes,Hotel_Manager,Machilipatnam,Andhra_Pradesh,6,13,0
154187,154188,3979671,42,16,single,rented,yes,Economist,Loni,Uttar_Pradesh,5,13,0
110640,110641,147127,79,0,single,rented,yes,Computer_operator,Sri_Ganganagar,Rajasthan,0,12,0
139602,139603,4406338,78,17,single,rented,no,Fashion_Designer,Vadodara,Gujarat,10,10,0
30149,30150,4028229,46,17,single,rented,no,Analyst,Kota[6],Rajasthan,5,12,0
1817,1818,4872099,36,1,single,rented,yes,Drafter,Dibrugarh,Assam,1,10,0
115774,115775,5021477,60,4,single,rented,no,Economist,Amroha,Uttar_Pradesh,4,10,0
183490,183491,8400495,54,15,single,rented,no,Official,Khandwa,Madhya_Pradesh,3,11,0
25888,25889,9292764,47,0,single,owned,no,Surgeon,Jhansi,Uttar_Pradesh,0,12,0
25842,25843,3356017,52,0,single,rented,yes,Civil_servant,Etawah,Uttar_Pradesh,0,14,0
71191,71192,4674975,38,13,single,rented,yes,Petroleum_Engineer,Bhilai,Chhattisgarh,12,10,0
57352,57353,3327853,51,10,single,rented,yes,Drafter,Rewa,Madhya_Pradesh,3,12,0
66589,66590,5832406,24,4,single,rented,yes,Designer,Sangli-Miraj_&_Kupwad,Maharashtra,4,12,0
105701,105702,1131868,46,10,single,rented,no,Geologist,Hazaribagh,Jharkhand,10,12,0
202222,202223,2718385,32,17,single,rented,no,Official,Suryapet,Telangana,9,10,0
153941,153942,7692135,40,1,single,rented,yes,Comedian,Navi_Mumbai,Maharashtra,1,12,0
72622,72623,8790456,41,2,single,rented,no,Designer,Tiruppur,Tamil_Nadu,2,11,0
30366,30367,1886741,37,11,single,rented,no,Dentist,Raipur,Chhattisgarh,11,14,0
20573,20574,3883838,62,19,single,rented,no,Web_designer,Chapra,Bihar,13,13,1
9769,9770,9662707,31,2,single,rented,no,Air_traffic_controller,Aurangabad[39],Bihar,2,13,1
224205,224206,3085494,40,14,single,rented,no,Lawyer,Bhiwandi,Maharashtra,3,11,0
240968,240969,569909,73,19,single,rented,yes,Chef,Unnao,Uttar_Pradesh,3,14,0
57339,57340,2653051,37,2,single,rented,yes,Technology_specialist,Solapur,Maharashtra,2,11,0
16967,16968,224204,51,9,single,norent_noown,no,Computer_hardware_engineer,Mathura,Uttar_Pradesh,8,10,0
84624,84625,4638141,59,18,married,rented,no,Chef,Bahraich,Uttar_Pradesh,3,12,0
236542,236543,3501174,72,15,single,rented,no,Surgeon,Buxar[37],Bihar,9,13,0
172527,172528,5866909,41,15,single,rented,no,Firefighter,Bahraich,Uttar_Pradesh,14,10,0
52930,52931,5173267,65,1,single,rented,yes,Lawyer,Pallavaram,Tamil_Nadu,1,10,0
216911,216912,4603583,75,5,single,rented,yes,Surveyor,Shahjahanpur,Uttar_Pradesh,5,13,0
1714,1715,996748,64,3,single,rented,no,Chemical_engineer,Dehri[30],Bihar,3,13,0
88035,88036,2808193,58,17,single,rented,no,Comedian,Maheshtala,West_Bengal,10,11,0
239395,239396,7450289,69,17,single,rented,no,Industrial_Engineer,Akola,Maharashtra,4,12,0
62984,62985,1072440,29,15,single,rented,no,Design_Engineer,Kulti,West_Bengal,6,12,1
105441,105442,6778173,58,0,single,rented,no,Petroleum_Engineer,Karawal_Nagar,Delhi,0,11,0
188771,188772,6379086,72,11,married,rented,yes,Drafter,Gaya,Bihar,11,12,0
131162,131163,1806183,23,3,single,rented,no,Chemical_engineer,Gangtok,Sikkim,3,14,0
173375,173376,6175598,49,18,single,rented,yes,Geologist,Ahmedabad,Gujarat,6,13,0
190816,190817,5638906,46,3,married,rented,yes,Firefighter,Serampore,West_Bengal,3,13,0
83741,83742,3959539,38,0,single,norent_noown,no,Microbiologist,Tadepalligudem,Andhra_Pradesh,0,14,0
189007,189008,5303994,39,6,single,rented,no,Comedian,Surendranagar_Dudhrej,Gujarat,6,14,0
142901,142902,229131,76,10,single,rented,no,Aviator,Ichalkaranji,Maharashtra,10,13,1
165081,165082,7982817,60,6,single,rented,yes,Psychologist,Bhiwani,Haryana,5,14,0
240676,240677,7856204,70,1,single,rented,yes,Designer,Kanpur,Uttar_Pradesh,1,10,0
146354,146355,8056757,42,18,single,rented,no,Official,Unnao,Uttar_Pradesh,3,13,0
22825,22826,9052853,52,15,single,rented,yes,Scientist,Bhalswa_Jahangir_Pur,Delhi,12,11,0
217803,217804,2932067,38,11,single,rented,yes,Physician,Loni,Uttar_Pradesh,3,10,1
170569,170570,91876,69,2,single,rented,no,Web_designer,Akola,Maharashtra,2,13,0
14569,14570,4910728,44,3,married,rented,no,Scientist,Medininagar,Jharkhand,3,12,0
120294,120295,4539410,35,5,single,owned,no,Software_Developer,Parbhani,Maharashtra,5,12,0
170860,170861,8442438,23,17,single,norent_noown,no,Mechanical_engineer,Hindupur,Andhra_Pradesh,3,14,0
205914,205915,5812529,46,2,single,rented,yes,Software_Developer,Tiruchirappalli[10],Tamil_Nadu,2,11,1
150460,150461,5250888,30,10,single,rented,no,Statistician,Raebareli,Uttar_Pradesh,10,13,1
38739,38740,1562434,31,14,single,rented,no,Technology_specialist,Dharmavaram,Andhra_Pradesh,10,11,0
184374,184375,9082033,57,9,single,rented,no,Secretary,Kharagpur,West_Bengal,5,14,0
55248,55249,7716276,50,16,single,rented,no,Army_officer,Bhusawal,Maharashtra,13,12,0
218027,218028,2257653,60,15,single,rented,no,Firefighter,Mau,Uttar_Pradesh,6,11,0
14933,14934,8615453,67,18,single,rented,yes,Lawyer,Jamnagar,Gujarat,11,14,0
158758,158759,9846056,28,12,single,rented,no,Analyst,Noida,Uttar_Pradesh,12,13,0
223419,223420,8483638,39,17,single,rented,yes,Technical_writer,Pudukkottai,Tamil_Nadu,12,13,0
88034,88035,7757255,75,0,single,rented,no,Comedian,Kalyan-Dombivli,Maharashtra,0,14,0
154902,154903,1737580,39,0,married,rented,no,Flight_attendant,Jamshedpur,Jharkhand,0,13,0
244991,244992,5080816,43,9,single,rented,no,Design_Engineer,Rewa,Madhya_Pradesh,9,10,0
39663,39664,1705824,27,15,single,owned,no,Graphic_Designer,Anantapuram[24],Andhra_Pradesh,13,10,0
35411,35412,6598797,60,18,married,rented,no,Computer_hardware_engineer,Gandhinagar,Gujarat,4,11,0
214631,214632,5953603,29,11,single,rented,yes,Mechanical_engineer,Nagpur,Maharashtra,7,10,1
50952,50953,9109752,69,16,single,rented,yes,Surveyor,Tinsukia,Assam,7,13,1
129324,129325,1928059,63,10,single,owned,no,Consultant,Thoothukudi,Tamil_Nadu,10,12,0
62788,62789,3022992,68,5,single,rented,no,Computer_hardware_engineer,Mirzapur,Uttar_Pradesh,5,14,0
110502,110503,5665869,51,4,single,rented,no,Scientist,Adoni,Andhra_Pradesh,4,13,0
147388,147389,4935105,74,17,single,rented,no,Official,Gorakhpur,Uttar_Pradesh,5,10,0
62245,62246,3632441,66,2,single,rented,yes,Statistician,Jabalpur,Madhya_Pradesh,2,13,1
177598,177599,2764602,33,4,single,rented,no,Mechanical_engineer,Bhind,Madhya_Pradesh,4,11,0
179777,179778,6406820,54,5,single,rented,yes,Aviator,Kottayam,Kerala,3,14,0
81428,81429,7592145,68,20,single,rented,yes,Industrial_Engineer,Shivpuri,Madhya_Pradesh,4,10,0
149653,149654,830380,47,15,single,rented,yes,Police_officer,Jehanabad[38],Bihar,3,14,0
87015,87016,9658695,74,19,single,rented,no,Fashion_Designer,Panihati,West_Bengal,8,11,0
64192,64193,6415677,68,2,single,rented,no,Chemical_engineer,Nashik,Maharashtra,2,12,0
16102,16103,7048030,58,9,single,rented,no,Surgeon,Haridwar,Uttarakhand,9,12,0
214766,214767,2588052,79,14,single,rented,no,Petroleum_Engineer,Gaya,Bihar,3,13,0
101806,101807,3527423,54,11,married,rented,yes,Software_Developer,Junagadh,Gujarat,5,13,0
224328,224329,3972720,27,17,single,rented,yes,Technician,Bareilly,Uttar_Pradesh,14,13,0
245561,245562,6415522,68,16,single,rented,no,Secretary,Mathura,Uttar_Pradesh,7,13,1
76212,76213,3729339,73,3,single,rented,no,Biomedical_Engineer,Bidhannagar,West_Bengal,3,14,0
20991,20992,7071461,48,10,single,owned,no,Geologist,Miryalaguda,Telangana,4,12,0
171558,171559,9131685,72,13,single,norent_noown,no,Computer_hardware_engineer,Rajkot,Gujarat,13,10,0
136853,136854,813741,79,13,married,rented,no,Lawyer,Visakhapatnam[4],Andhra_Pradesh,12,12,0
25202,25203,7649589,51,7,single,rented,no,Petroleum_Engineer,Eluru[25],Andhra_Pradesh,7,12,0
149662,149663,8986859,56,3,single,owned,yes,Web_designer,Ujjain,Madhya_Pradesh,3,14,0
247108,247109,2359656,70,11,single,rented,no,Technical_writer,Satara,Maharashtra,5,10,0
52186,52187,4641763,48,8,single,rented,yes,Architect,Bhatpara,West_Bengal,8,11,0
210115,210116,8078779,66,9,single,rented,yes,Librarian,Dhule,Maharashtra,5,14,0
102428,102429,1051358,43,14,single,rented,no,Computer_hardware_engineer,Indore,Madhya_Pradesh,7,10,0
36029,36030,7848654,55,9,single,rented,no,Software_Developer,Patna,Bihar,9,13,0
97473,97474,6668606,45,2,single,rented,no,Designer,Giridih,Jharkhand,2,10,0
33560,33561,5218196,49,12,single,rented,yes,Air_traffic_controller,Guntur[13],Andhra_Pradesh,12,10,0
148814,148815,6845511,78,14,single,rented,no,Fashion_Designer,Saharanpur,Uttar_Pradesh,4,12,0
118638,118639,1535929,56,9,single,rented,no,Flight_attendant,Nagercoil,Tamil_Nadu,7,11,0
117622,117623,9718890,56,13,single,norent_noown,no,Chef,Proddatur,Andhra_Pradesh,8,14,0
122331,122332,206151,68,16,single,owned,no,Architect,Raurkela_Industrial_Township,Odisha,3,12,0
130588,130589,9374682,54,1,married,rented,no,Firefighter,Mahbubnagar,Telangana,1,12,0
140352,140353,9420838,48,6,single,rented,no,Technical_writer,Madurai,Tamil_Nadu,6,10,1
86035,86036,1041253,64,16,single,rented,no,Biomedical_Engineer,Pallavaram,Tamil_Nadu,10,14,0
232703,232704,5490156,74,17,single,rented,no,Fashion_Designer,Ambala,Haryana,5,14,0
196077,196078,5303030,35,7,single,rented,no,Air_traffic_controller,Kavali,Andhra_Pradesh,6,13,0
55386,55387,8026974,23,20,single,rented,yes,Civil_servant,Chapra,Bihar,11,12,1
30948,30949,2060668,67,8,single,rented,yes,Army_officer,Agra,Uttar_Pradesh,3,13,0
61906,61907,8393068,61,15,married,rented,no,Lawyer,Srinagar,Jammu_and_Kashmir,6,14,0
250676,250677,1159423,78,0,single,rented,no,Industrial_Engineer,Karawal_Nagar,Delhi,0,10,0
42206,42207,2537444,49,1,single,rented,yes,Hotel_Manager,Muzaffarpur,Bihar,1,12,0
29415,29416,6543823,50,5,single,rented,yes,Geologist,Kurnool[18],Andhra_Pradesh,5,13,0
45739,45740,4939745,39,6,single,rented,yes,Architect,Aizawl,Mizoram,3,11,0
45514,45515,3456424,76,8,single,rented,no,Surveyor,Raurkela_Industrial_Township,Odisha,8,13,0
238576,238577,9429936,67,15,single,rented,no,Librarian,Pimpri-Chinchwad,Maharashtra,9,12,0
223581,223582,9210048,71,0,single,rented,no,Surgeon,Maheshtala,West_Bengal,0,12,0
165797,165798,2917765,47,9,single,rented,no,Technical_writer,Ratlam,Madhya_Pradesh,9,14,0
105532,105533,5385174,49,18,single,rented,no,Magistrate,Jehanabad[38],Bihar,12,12,0
144293,144294,4710960,59,10,single,rented,no,Chef,Ichalkaranji,Maharashtra,10,13,0
54378,54379,630441,37,4,single,rented,no,Secretary,Ranchi,Jharkhand,4,11,0
145807,145808,9861298,59,16,single,rented,no,Technical_writer,North_Dumdum,West_Bengal,9,11,1
108593,108594,8356848,54,2,single,rented,no,Dentist,Nangloi_Jat,Delhi,2,12,1
246527,246528,9304491,55,17,single,rented,no,Air_traffic_controller,Jabalpur,Madhya_Pradesh,10,14,0
7003,7004,4935105,74,17,single,rented,no,Official,Gorakhpur,Uttar_Pradesh,5,10,0
67098,67099,4295693,52,13,single,rented,no,Graphic_Designer,Deoghar,Jharkhand,6,13,0
155530,155531,5173267,65,1,single,rented,yes,Lawyer,Pallavaram,Tamil_Nadu,1,10,0
191124,191125,6706117,70,6,single,rented,no,Secretary,Firozabad,Uttar_Pradesh,4,12,0
144876,144877,5053629,41,14,single,rented,no,Fashion_Designer,Bareilly,Uttar_Pradesh,10,12,0
100168,100169,9069784,44,18,single,rented,no,Drafter,Vellore,Tamil_Nadu,13,11,0
216524,216525,7542411,74,1,single,rented,no,Magistrate,Kishanganj[35],Bihar,1,14,0
179974,179975,926016,37,20,single,rented,no,Microbiologist,Guwahati,Assam,3,14,0
39543,39544,5625315,69,16,single,rented,no,Fashion_Designer,Indore,Madhya_Pradesh,14,14,1
34737,34738,5626739,33,3,single,owned,no,Army_officer,Malda,West_Bengal,3,12,0
175839,175840,8899644,39,12,married,rented,no,Mechanical_engineer,Sultan_Pur_Majra,Delhi,6,12,0
182860,182861,9601253,51,15,single,rented,no,Politician,Ichalkaranji,Maharashtra,10,11,0
205078,205079,7716359,70,0,single,rented,no,Statistician,Udaipur,Rajasthan,0,12,0
241175,241176,1654971,39,16,single,rented,yes,Politician,Kottayam,Kerala,8,11,1
97610,97611,4846957,75,2,single,rented,yes,Psychologist,Noida,Uttar_Pradesh,2,10,0
28306,28307,2087379,33,17,married,rented,yes,Computer_hardware_engineer,Bokaro,Jharkhand,4,10,0
179148,179149,3443292,68,15,single,rented,no,Drafter,Nagercoil,Tamil_Nadu,5,12,0
84811,84812,6681037,56,15,single,rented,no,Chef,Bhilwara,Rajasthan,13,12,0
62772,62773,7009156,36,20,married,rented,no,Aviator,Pallavaram,Tamil_Nadu,10,12,0
155477,155478,2724690,56,1,single,rented,yes,Civil_servant,"Khora,_Ghaziabad",Uttar_Pradesh,1,12,1
143981,143982,6973369,68,20,single,rented,no,Physician,Raebareli,Uttar_Pradesh,11,13,1
108237,108238,3308198,76,10,single,rented,yes,Economist,Morena,Madhya_Pradesh,4,14,0
202272,202273,6967997,30,5,single,rented,yes,Biomedical_Engineer,Belgaum,Karnataka,4,14,0
40647,40648,5543622,77,14,single,owned,yes,Microbiologist,Bhopal,Madhya_Pradesh,4,10,0
121748,121749,2184898,28,6,single,rented,no,Army_officer,Bharatpur,Rajasthan,6,10,0
36639,36640,8498715,24,1,single,rented,no,Lawyer,Amaravati,Andhra_Pradesh,1,14,0
14043,14044,4631758,63,1,single,owned,no,Surveyor,Giridih,Jharkhand,1,11,0
71157,71158,3346084,23,18,single,rented,no,Web_designer,Sambalpur,Odisha,6,13,0
106641,106642,4347543,73,5,single,rented,no,Dentist,Chapra,Bihar,5,12,0
129540,129541,4062276,27,7,single,rented,no,Software_Developer,Jhansi,Uttar_Pradesh,7,12,0
66253,66254,3768361,75,9,single,owned,yes,Flight_attendant,Jaipur,Rajasthan,6,13,0
238159,238160,886688,35,9,single,rented,no,Scientist,Machilipatnam,Andhra_Pradesh,9,11,0
224410,224411,5371473,35,15,single,rented,no,Microbiologist,Dewas,Madhya_Pradesh,10,10,1
71165,71166,5245448,25,8,single,rented,yes,Technology_specialist,Dindigul,Tamil_Nadu,7,14,0
112393,112394,5455001,47,5,single,rented,no,Technology_specialist,Navi_Mumbai,Maharashtra,5,12,0
226068,226069,8734017,35,17,single,rented,no,Microbiologist,Shahjahanpur,Uttar_Pradesh,8,11,0
177254,177255,8295121,50,11,single,rented,no,Army_officer,Korba,Chhattisgarh,5,11,0
49631,49632,7656726,79,9,single,rented,yes,Industrial_Engineer,Ambala,Haryana,6,12,0
213734,213735,7637007,48,17,single,rented,no,Dentist,Uluberia,West_Bengal,4,12,0
223310,223311,6115932,29,3,single,rented,yes,Politician,Sangli-Miraj_&_Kupwad,Maharashtra,3,13,0
96097,96098,8986429,70,9,single,rented,no,Consultant,Muzaffarpur,Bihar,9,12,0
192152,192153,9241052,69,2,single,rented,yes,Dentist,Thanjavur,Tamil_Nadu,2,13,0
219110,219111,8301032,39,0,single,rented,no,Petroleum_Engineer,Warangal[11][12],Telangana,0,14,1
207423,207424,8981043,57,8,single,rented,yes,Technical_writer,Mysore[7][8][9],Karnataka,8,12,1
25090,25091,5952371,67,16,single,rented,yes,Technician,Jorhat,Assam,3,14,0
105201,105202,3855594,39,10,single,rented,yes,Consultant,Miryalaguda,Telangana,10,13,0
43235,43236,862841,77,7,single,rented,no,Fashion_Designer,North_Dumdum,West_Bengal,7,14,0
99035,99036,5375354,38,4,single,rented,no,Petroleum_Engineer,Etawah,Uttar_Pradesh,4,14,0
168145,168146,215207,32,7,married,rented,no,Lawyer,Singrauli,Madhya_Pradesh,7,13,0
196984,196985,9992133,40,14,married,rented,no,Analyst,Anantapur,Andhra_Pradesh,3,13,0
42731,42732,7367762,67,16,single,rented,no,Official,Berhampore,West_Bengal,13,12,0
98356,98357,3491608,30,3,single,rented,no,Graphic_Designer,Hospet,Karnataka,3,14,0
20858,20859,7256900,55,9,single,rented,no,Hotel_Manager,Indore,Madhya_Pradesh,4,14,1
234114,234115,1764146,39,2,single,owned,yes,Biomedical_Engineer,Srinagar,Jammu_and_Kashmir,2,12,1
92732,92733,5969456,27,12,single,rented,no,Analyst,Baranagar,West_Bengal,10,14,0
195840,195841,8259435,64,15,single,rented,no,Technical_writer,Chapra,Bihar,4,10,0
54990,54991,4559022,63,5,single,rented,yes,Surveyor,Udaipur,Rajasthan,5,11,0
231127,231128,8375976,58,20,married,rented,no,Police_officer,Aizawl,Mizoram,6,13,0
130988,130989,3420288,71,16,single,rented,no,Architect,Guna,Madhya_Pradesh,4,14,0
28258,28259,1621150,48,10,single,rented,yes,Air_traffic_controller,Tiruvottiyur,Tamil_Nadu,9,10,0
126219,126220,1494575,69,19,single,rented,no,Magistrate,Shimoga,Karnataka,10,11,0
31523,31524,4161972,41,16,single,owned,no,Civil_engineer,Hajipur[31],Bihar,9,11,0
251728,251729,553135,68,18,single,rented,no,Firefighter,Jaunpur,Uttar_Pradesh,5,11,0
70428,70429,2436026,50,4,single,rented,yes,Lawyer,Karimnagar,Telangana,4,10,0
66927,66928,448452,22,7,single,rented,no,Graphic_Designer,Bhind,Madhya_Pradesh,6,13,1
96924,96925,8011850,48,14,single,rented,no,Consultant,Agra,Uttar_Pradesh,4,11,0
39886,39887,9243110,47,3,married,rented,no,Designer,Tumkur,Karnataka,3,11,0
17741,17742,6171221,56,18,single,rented,no,Graphic_Designer,Bareilly,Uttar_Pradesh,9,10,0
102006,102007,2793047,45,1,single,rented,no,Geologist,Mango,Jharkhand,1,11,0
145044,145045,6147575,41,15,single,rented,yes,Hotel_Manager,Serampore,West_Bengal,4,12,0
249132,249133,1516463,75,2,single,rented,yes,Architect,Bhiwandi,Maharashtra,2,12,1
221380,221381,9519831,43,17,single,rented,yes,Statistician,Mau,Uttar_Pradesh,6,13,0
90346,90347,204151,66,0,single,rented,no,Microbiologist,Nanded,Maharashtra,0,13,0
132188,132189,1845417,45,10,single,rented,yes,Surgeon,Durgapur,West_Bengal,7,12,0
31168,31169,173096,40,13,single,rented,no,Politician,Ahmedabad,Gujarat,3,13,0
215064,215065,3346408,58,7,single,owned,yes,Scientist,Madanapalle,Andhra_Pradesh,3,12,0
236339,236340,190596,35,3,single,rented,yes,Biomedical_Engineer,Sagar,Madhya_Pradesh,3,13,0
134182,134183,6864774,32,16,single,rented,no,Mechanical_engineer,Begusarai,Bihar,9,13,0
210113,210114,3057698,54,6,single,rented,no,Surgeon,Noida,Uttar_Pradesh,6,10,0
205903,205904,3423478,76,9,single,rented,no,Computer_hardware_engineer,Suryapet,Telangana,4,10,1
106115,106116,1927409,73,15,married,rented,no,Civil_servant,Anantapuram[24],Andhra_Pradesh,4,12,0
208985,208986,2987685,59,6,single,rented,yes,Technical_writer,Ballia,Uttar_Pradesh,6,10,0
244568,244569,759003,57,19,single,rented,no,Air_traffic_controller,Jabalpur,Madhya_Pradesh,6,14,0
157917,157918,5541889,75,11,single,rented,no,Petroleum_Engineer,Hajipur[31],Bihar,10,13,0
208908,208909,4325297,26,19,single,rented,no,Comedian,Jalandhar,Punjab,11,10,0
68385,68386,4346432,32,17,single,rented,no,Consultant,Bhubaneswar,Odisha,11,14,0
129718,129719,8769550,23,13,single,rented,no,Computer_hardware_engineer,Ghaziabad,Uttar_Pradesh,9,10,0
210190,210191,2575197,72,2,single,owned,no,Scientist,Bongaigaon,Assam,2,14,0
52146,52147,7369452,45,5,single,rented,no,Librarian,Pune,Maharashtra,5,10,0
52326,52327,8475172,57,12,married,rented,yes,Mechanical_engineer,Tadepalligudem,Andhra_Pradesh,3,11,0
7618,7619,9846056,28,12,single,rented,no,Analyst,Noida,Uttar_Pradesh,12,13,0
151624,151625,8145890,48,5,single,rented,yes,Software_Developer,Avadi,Tamil_Nadu,5,11,0
84579,84580,7816158,44,8,single,rented,no,Design_Engineer,Nashik,Maharashtra,8,13,1
164285,164286,609522,72,2,single,rented,no,Technician,Kulti,West_Bengal,2,12,0
158126,158127,1222892,74,7,single,rented,yes,Politician,Jalgaon,Maharashtra,5,12,0
62886,62887,2939017,21,4,single,rented,no,Analyst,Amaravati,Andhra_Pradesh,4,12,0
177098,177099,226629,53,18,single,rented,no,Psychologist,Sirsa,Haryana,12,11,0
171331,171332,7832535,26,12,single,rented,yes,Hotel_Manager,Ahmednagar,Maharashtra,10,14,0
52043,52044,5827981,34,1,single,rented,no,Technical_writer,Deoghar,Jharkhand,1,12,0
165170,165171,9934332,76,7,single,rented,no,Engineer,North_Dumdum,West_Bengal,7,14,0
117329,117330,9360376,39,4,single,rented,yes,Surveyor,Giridih,Jharkhand,4,14,0
125085,125086,2157311,78,14,single,rented,no,Chef,Sonipat,Haryana,6,12,0
51765,51766,8018694,37,16,single,rented,yes,Computer_operator,Machilipatnam,Andhra_Pradesh,10,13,0
124844,124845,2721517,62,6,single,rented,no,Statistician,Thanjavur,Tamil_Nadu,6,10,0
25801,25802,4621722,44,11,single,rented,no,Physician,Bardhaman,West_Bengal,6,14,1
104520,104521,2303998,44,20,single,rented,no,Civil_servant,Surat,Gujarat,4,11,0
108548,108549,4272756,29,6,single,rented,no,Surveyor,Danapur,Bihar,6,13,0
153509,153510,7730239,55,16,single,rented,yes,Technical_writer,Thane,Maharashtra,3,12,0
17154,17155,7189375,60,12,single,rented,yes,Biomedical_Engineer,Motihari[34],Bihar,3,12,0
39484,39485,1759952,79,11,single,rented,yes,Police_officer,Firozabad,Uttar_Pradesh,4,10,0
243312,243313,1399456,29,20,single,owned,no,Surveyor,Panihati,West_Bengal,14,11,0
120378,120379,9493039,55,16,single,rented,no,Graphic_Designer,Darbhanga,Bihar,13,11,0
54950,54951,5724223,47,0,single,rented,no,Lawyer,Raichur,Karnataka,0,12,0
105171,105172,8535775,33,18,single,rented,no,Technician,Tinsukia,Assam,5,13,0
105617,105618,4330847,67,2,single,rented,no,Technician,Sambhal,Uttar_Pradesh,2,14,0
202940,202941,8623686,27,5,single,rented,no,Fashion_Designer,Raurkela_Industrial_Township,Odisha,5,11,0
40362,40363,1039697,65,3,single,rented,no,Statistician,Cuttack,Odisha,3,14,0
157140,157141,117262,65,15,single,rented,no,Biomedical_Engineer,Uluberia,West_Bengal,12,12,0
231175,231176,2135953,59,4,single,rented,no,Surgeon,Thiruvananthapuram,Kerala,4,11,1
207736,207737,7643432,66,17,single,rented,no,Librarian,Belgaum,Karnataka,8,13,0
180267,180268,9846959,34,1,single,rented,no,Designer,Ahmednagar,Maharashtra,1,10,0
173230,173231,2889903,27,0,single,rented,no,Flight_attendant,Kolkata,West_Bengal,0,12,0
209599,209600,7396490,59,0,married,rented,yes,Analyst,Dibrugarh,Assam,0,11,0
238583,238584,2961626,22,4,single,rented,yes,Magistrate,Rajahmundry[19][20],Andhra_Pradesh,4,14,1
60383,60384,6237498,52,1,single,rented,yes,Geologist,Kavali,Andhra_Pradesh,1,13,0
133434,133435,1929905,56,17,single,rented,no,Consultant,Khandwa,Madhya_Pradesh,14,14,0
172390,172391,4195302,22,9,single,rented,no,Psychologist,Gaya,Bihar,3,11,0
152696,152697,8782393,22,17,single,rented,yes,Computer_hardware_engineer,Tadipatri,Andhra_Pradesh,13,11,0
23604,23605,3831842,58,4,single,rented,no,Civil_servant,Thrissur,Kerala,4,14,0
132408,132409,4380994,35,10,single,rented,yes,Air_traffic_controller,New_Delhi,Delhi,4,14,0
128791,128792,8545933,49,12,single,rented,yes,Technician,Ballia,Uttar_Pradesh,4,14,0
5678,5679,8010013,45,11,single,rented,no,Technical_writer,Hazaribagh,Jharkhand,7,14,0
7746,7747,3092529,49,1,single,rented,no,Fashion_Designer,Kottayam,Kerala,1,10,1
57449,57450,4382706,38,11,single,rented,yes,Scientist,Tezpur,Assam,10,12,0
197789,197790,7961910,45,19,married,rented,no,Scientist,Tirupati[21][22],Andhra_Pradesh,14,13,0
240034,240035,4161586,71,19,single,owned,yes,Dentist,Naihati,West_Bengal,4,12,0
117189,117190,5951973,41,9,single,rented,no,Industrial_Engineer,Ambarnath,Maharashtra,9,11,0
64889,64890,5644262,60,7,single,rented,no,Engineer,Kalyan-Dombivli,Maharashtra,3,11,0
97394,97395,7743419,71,15,single,rented,no,Scientist,Nangloi_Jat,Delhi,14,14,0
124349,124350,4341286,75,1,single,rented,no,Consultant,Tirupati[21][22],Andhra_Pradesh,1,13,0
249736,249737,3042502,45,17,single,rented,no,Microbiologist,Mumbai,Maharashtra,11,14,0
133526,133527,336776,27,17,single,owned,no,Analyst,Ramagundam[27],Telangana,8,10,0
170301,170302,8019114,73,17,single,rented,no,Artist,Srinagar,Jammu_and_Kashmir,9,14,0
62216,62217,543441,39,14,single,rented,yes,Official,Raebareli,Uttar_Pradesh,11,11,0
124043,124044,8942160,36,4,single,rented,yes,Architect,Bellary,Karnataka,4,12,0
224395,224396,718818,33,2,single,rented,yes,Analyst,Machilipatnam,Andhra_Pradesh,2,10,0
159305,159306,3755934,41,12,single,rented,no,Aviator,Mathura,Uttar_Pradesh,3,10,0
197196,197197,8293745,60,12,married,rented,no,Designer,Dhule,Maharashtra,12,10,0
134283,134284,8492508,67,18,single,rented,no,Chemical_engineer,Dewas,Madhya_Pradesh,12,13,0
184966,184967,3205080,47,10,single,rented,no,Biomedical_Engineer,Kirari_Suleman_Nagar,Delhi,10,13,0
